subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co01 103  P8   +600..+748 -8.0814e+00 -1.1028e+01   0.676 -4.0339e+00   0.636
co01 103  PO3  +600..+748 -8.9895e+00 -1.1492e+01   0.692 -6.0797e+00   0.636
co01 103  POZ  +600..+748 -6.3243e+00 -8.7508e+00   0.700 -3.4122e+00   0.636
co01 103  PO4  +600..+748 -6.2692e+00 -9.3670e+00   0.700 -2.0674e+00   0.636
co01 103  OZ   +600..+748 -3.8438e+00 -5.7425e+00   0.700 -9.9791e-01   0.636
co01 104  F7   +600..+748 -5.5654e-01 -3.1921e+00   0.640  2.3393e+00   0.652
co01 104  F3   +600..+748 -4.2124e+00 -7.7361e+00   0.624 -4.6826e-01   0.708
co01 104  FZ   +600..+748 -5.1570e+00 -7.7847e+00   0.624 -2.2793e+00   0.708
co01 104  F4   +600..+748 -3.6911e+00 -5.4731e+00   0.684 -1.4358e+00   0.708
co01 104  F8   +600..+748 -3.0596e+00 -6.3062e+00   0.640 -1.0609e+00   0.616
co01 104  FC5  +600..+748 -1.9963e+00 -5.5214e+00   0.624  9.2383e-01   0.720
co01 104  FCZ  +600..+748 -4.0960e+00 -6.4191e+00   0.624 -1.8613e+00   0.708
co01 104  FC6  +600..+748 -4.0317e+00 -6.6419e+00   0.660  4.9691e-01   0.616
co01 104  C3   +600..+748 -5.0628e+00 -7.6615e+00   0.624 -1.7129e+00   0.720
co01 104  CZ   +600..+748 -3.6006e+00 -6.2222e+00   0.604 -1.1975e+00   0.656
co01 104  C4   +600..+748 -3.0031e+00 -4.8994e+00   0.700 -5.9199e-01   0.656
co01 104  CP5  +600..+748 -6.9322e+00 -1.0692e+01   0.684 -2.6276e+00   0.660
co01 104  CPZ  +600..+748 -1.6048e+00 -3.9106e+00   0.624  1.3485e+00   0.656
co01 104  CP6  +600..+748 -3.0207e+00 -5.9683e+00   0.696 -4.6875e-01   0.616
co01 104  P7   +600..+748 -6.2799e+00 -9.6680e+00   0.684 -3.2962e+00   0.728
co01 104  P3   +600..+748 -4.0062e+00 -6.8321e+00   0.684 -9.4900e-01   0.728
co01 104  PZ   +600..+748 -2.3975e-01 -3.1699e+00   0.700  3.8874e+00   0.660
co01 104  P4   +600..+748  1.3447e+00 -2.8586e+00   0.604  6.0605e+00   0.656
co01 104  P8   +600..+748 -4.2248e-01 -3.1770e+00   0.716  3.2881e+00   0.632
co01 104  PO3  +600..+748 -3.5462e+00 -6.4107e+00   0.700 -2.4755e-01   0.660
co01 104  POZ  +600..+748 -1.3467e+00 -4.8405e+00   0.700  2.8524e+00   0.660
co01 104  PO4  +600..+748  9.1162e-01 -4.4028e+00   0.604  6.6618e+00   0.656
co01 104  OZ   +600..+748 -8.1996e-02 -2.8356e+00   0.716  2.5864e+00   0.668
co02 101  F7   +600..+748 -4.7625e+00 -7.0117e+00   0.708 -2.1858e+00   0.736
co02 101  F3   +600..+748 -4.2362e+00 -6.5568e+00   0.648 -2.4609e+00   0.688
co02 101  FZ   +600..+748 -4.8883e+00 -6.8105e+00   0.648 -3.3709e+00   0.736
co02 101  F4   +600..+748 -5.1384e+00 -7.0373e+00   0.724 -1.7255e+00   0.608
co02 101  F8   +600..+748 -2.1374e+00 -3.5214e+00   0.660 -1.1442e+00   0.732
co02 101  FC5  +600..+748 -5.0508e+00 -7.4325e+00   0.648 -2.6424e+00   0.736
co02 101  FCZ  +600..+748 -5.3565e+00 -7.8717e+00   0.648 -3.5529e+00   0.604
co02 101  FC6  +600..+748 -6.0918e+00 -7.5858e+00   0.744 -4.6365e+00   0.604
co02 101  C3   +600..+748 -7.7384e+00 -1.0508e+01   0.648 -5.5916e+00   0.688
co02 101  CZ   +600..+748 -5.9970e+00 -8.5652e+00   0.644 -3.4448e+00   0.688
co02 101  C4   +600..+748 -4.0479e+00 -6.1056e+00   0.648 -2.4936e+00   0.688
co02 101  CP5  +600..+748 -1.1431e+01 -1.3681e+01   0.648 -9.1031e+00   0.688
