subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co04 101  F8   +600..+748  2.9588e+00 -3.7229e-01   0.668  5.7283e+00   0.720
co04 101  FC5  +600..+748 -1.1464e+00 -4.0667e+00   0.692  2.4374e+00   0.612
co04 101  FCZ  +600..+748 -4.6351e+00 -9.2771e+00   0.680  8.0103e-01   0.612
co04 101  FC6  +600..+748  7.0442e-01 -2.3922e+00   0.680  4.4672e+00   0.624
co04 101  C3   +600..+748 -1.3416e+00 -4.1573e+00   0.692  3.4429e+00   0.612
co04 101  CZ   +600..+748 -8.0028e-01 -4.8488e+00   0.668  4.9224e+00   0.612
co04 101  C4   +600..+748  1.8266e+00 -1.2788e+00   0.672  5.7557e+00   0.612
co04 101  CP5  +600..+748  4.4307e-01 -1.5524e+00   0.716  3.5189e+00   0.612
co04 101  CPZ  +600..+748 -2.3637e+00 -5.9267e+00   0.668  3.3208e+00   0.612
co04 101  CP6  +600..+748  2.4504e+00 -3.8760e-01   0.696  5.7520e+00   0.612
co04 101  P7   +600..+748  2.3491e+00  2.9032e-01   0.696  4.0164e+00   0.660
co04 101  P3   +600..+748 -1.1550e+00 -3.5860e+00   0.704  3.3496e+00   0.612
co04 101  PZ   +600..+748 -1.4291e-01 -2.9583e+00   0.656  5.5347e+00   0.612
co04 101  P4   +600..+748  1.4837e+00 -1.2480e+00   0.696  6.3480e+00   0.612
co04 101  P8   +600..+748  4.1392e+00  8.4154e-01   0.740  7.3827e+00   0.604
co04 101  PO3  +600..+748  6.0180e-02 -3.3232e+00   0.704  4.1547e+00   0.612
co04 101  POZ  +600..+748 -2.2520e+00 -5.9338e+00   0.704  3.5173e+00   0.612
co04 101  PO4  +600..+748  2.4941e+00 -8.7878e-01   0.708  7.3812e+00   0.612
co04 101  OZ   +600..+748  1.9973e+00 -3.9725e+00   0.708  6.1887e+00   0.612
co04 102  F7   +600..+748  1.2677e+00 -1.7559e+00   0.672  4.2215e+00   0.636
co04 102  F3   +600..+748  1.1810e+00 -1.7231e+00   0.668  4.8853e+00   0.716
co04 102  FZ   +600..+748  4.2834e+00  6.2270e-01   0.612  9.4074e+00   0.716
co04 102  F4   +600..+748  5.6781e+00  2.3513e+00   0.612  1.0999e+01   0.716
co04 102  F8   +600..+748  7.2005e+00  3.7390e+00   0.612  1.2578e+01   0.716
co04 102  FC5  +600..+748  2.6205e-01 -1.8184e+00   0.668  2.6724e+00   0.716
co04 102  FCZ  +600..+748 -1.2999e+00 -4.3573e+00   0.612  3.9143e+00   0.716
co04 102  FC6  +600..+748  3.1533e+00 -1.4068e-01   0.672  7.8983e+00   0.716
co04 102  C3   +600..+748 -5.6676e-01 -2.9274e+00   0.672  3.1498e+00   0.716
co04 102  CZ   +600..+748  9.4750e-01 -2.0014e+00   0.668  6.2522e+00   0.716
co04 102  C4   +600..+748  3.9320e+00  5.5239e-01   0.672  8.8161e+00   0.716
co04 102  CP5  +600..+748  1.9023e+00 -7.4892e-01   0.612  5.0701e+00   0.716
co04 102  CPZ  +600..+748 -2.0971e+00 -4.9754e+00   0.668  2.7264e+00   0.716
co04 102  CP6  +600..+748  4.9398e+00  8.5502e-01   0.668  8.6537e+00   0.716
co04 102  P7   +600..+748  2.2430e+00 -3.6816e-01   0.612  5.3235e+00   0.680
co04 102  P3   +600..+748 -8.8620e-02 -2.0109e+00   0.644  3.1159e+00   0.716
co04 102  PZ   +600..+748 -6.4361e-01 -3.7878e+00   0.668  3.3239e+00   0.716
co04 102  P4   +600..+748  2.7599e+00 -1.3873e+00   0.668  6.3454e+00   0.716
co04 102  P8   +600..+748  5.0992e+00  9.6443e-01   0.668  9.0801e+00   0.708
co04 102  PO3  +600..+748  9.1109e-01 -9.6045e-01   0.704  3.0832e+00   0.636
co04 102  POZ  +600..+748 -2.3536e+00 -4.8760e+00   0.668 -1.0686e-01   0.716
co04 102  PO4  +600..+748  2.0664e+00 -1.1587e+00   0.668  4.7549e+00   0.632
co04 102  OZ   +600..+748  1.7329e+00 -2.8132e+00   0.704  4.8836e+00   0.604
co04 103  F7   +600..+748 -2.3245e+00 -4.3961e+00   0.640  1.1697e+00   0.728
co04 103  F3   +600..+748 -2.8835e+00 -5.7745e+00   0.684 -8.0792e-01   0.716
co04 103  FZ   +600..+748 -3.1734e-01 -2.4952e+00   0.684  1.6174e+00   0.716
co04 103  F4   +600..+748  1.4495e+00 -1.0037e+00   0.684  3.9673e+00   0.656
co04 103  F8   +600..+748  1.3022e+00 -2.1118e+00   0.684  3.9946e+00   0.660
co04 103  FC5  +600..+748 -4.3574e+00 -7.2589e+00   0.640 -2.2610e+00   0.716
co04 103  FCZ  +600..+748 -5.4761e+00 -7.7933e+00   0.684 -3.8192e+00   0.712
co04 103  FC6  +600..+748  7.4461e-01 -2.7679e+00   0.684  2.8468e+00   0.656
co04 103  C3   +600..+748 -5.7708e+00 -8.1696e+00   0.684 -3.9406e+00   0.664
co04 103  CZ   +600..+748 -1.5981e+00 -4.0124e+00   0.684  2.5446e-01   0.660
co04 103  C4   +600..+748  9.5126e-01 -2.1821e+00   0.684  2.8358e+00   0.656
co04 103  CP5  +600..+748 -3.8703e-01 -2.1288e+00   0.684  1.2061e+00   0.620
co04 103  CPZ  +600..+748 -3.2694e+00 -5.7513e+00   0.684 -1.1805e+00   0.660
co04 103  CP6  +600..+748  1.8358e+00 -1.4802e+00   0.684  4.8631e+00   0.656
co04 103  P7   +600..+748  1.6543e+00 -7.9126e-01   0.720  3.3079e+00   0.616
co04 103  P3   +600..+748 -1.5770e+00 -3.7490e+00   0.720  4.5987e-01   0.664
co04 103  PZ   +600..+748 -6.2411e-01 -3.1761e+00   0.688  1.2942e+00   0.664
co04 103  P4   +600..+748  1.8297e+00 -1.0985e+00   0.688  4.9254e+00   0.656
co04 103  P8   +600..+748  4.4269e+00  1.3278e+00   0.684  8.4357e+00   0.656
co04 103  PO3  +600..+748  6.6361e-02 -2.7215e+00   0.712  2.3635e+00   0.664
co04 103  POZ  +600..+748 -2.0456e+00 -5.6603e+00   0.704  1.0913e-01   0.656
co04 103  PO4  +600..+748  1.8998e+00 -1.9861e+00   0.704  4.7930e+00   0.656
co04 103  OZ   +600..+748  1.9621e+00 -3.4528e+00   0.712  5.4478e+00   0.664
co04 104  F7   +600..+748 -6.7793e-01 -2.6355e+00   0.640  1.7098e+00   0.712
co04 104  F3   +600..+748 -2.5977e+00 -4.5522e+00   0.636  3.7793e-01   0.708
co04 104  FZ   +600..+748  1.5721e+00 -4.9205e-01   0.636  4.5382e+00   0.708
co04 104  F4   +600..+748  2.3894e+00 -6.5130e-01   0.636  6.0465e+00   0.708
co04 104  F8   +600..+748  1.3280e+00 -1.7829e+00   0.656  4.1795e+00   0.712
co04 104  FC5  +600..+748 -1.5381e+00 -4.0926e+00   0.620  2.6306e+00   0.712
co04 104  FCZ  +600..+748 -3.6367e+00 -5.7515e+00   0.636 -6.4014e-01   0.708
co04 104  FC6  +600..+748 -1.0263e+00 -3.5446e+00   0.688  1.1455e+00   0.708
co04 104  C3   +600..+748 -1.6719e+00 -4.9406e+00   0.636  1.3128e+00   0.708
co04 104  CZ   +600..+748 -5.0853e-01 -2.8544e+00   0.636  2.0122e+00   0.708
co04 104  C4   +600..+748  1.5067e+00  1.4369e-02   0.608  3.7746e+00   0.736
co04 104  CP5  +600..+748  9.1405e-01 -1.5472e+00   0.636  4.1342e+00   0.736
co04 104  CPZ  +600..+748 -2.8772e+00 -5.0465e+00   0.648 -1.5465e-01   0.736
co04 104  CP6  +600..+748  1.0107e+00 -5.2093e-01   0.724  3.3491e+00   0.668
co04 104  P7   +600..+748  2.4616e+00  6.2137e-01   0.704  5.4187e+00   0.668
co04 104  P3   +600..+748 -1.2818e+00 -3.5600e+00   0.704  2.0624e+00   0.736
co04 104  PZ   +600..+748 -7.8614e-01 -3.5750e+00   0.700  2.1343e+00   0.736
co04 104  P4   +600..+748  1.9546e-01 -3.0658e+00   0.704  3.5530e+00   0.668
co04 104  P8   +600..+748  1.7089e+00 -8.0287e-01   0.724  4.7654e+00   0.668
co04 104  PO3  +600..+748  5.6527e-01 -4.1959e+00   0.704  5.1330e+00   0.668
co04 104  POZ  +600..+748 -1.1000e+00 -6.5264e+00   0.704  3.1581e+00   0.672
co04 104  PO4  +600..+748  7.1684e-01 -4.5141e+00   0.704  5.0345e+00   0.668
co04 104  OZ   +600..+748 -1.3596e-01 -7.3276e+00   0.704  5.6543e+00   0.668
co05 101  F7   +600..+748  5.4590e+00  3.3659e+00   0.644  7.0507e+00   0.700
co05 101  F3   +600..+748  3.3115e+00  2.1357e+00   0.672  4.9760e+00   0.720
co05 101  FZ   +600..+748 -1.3477e+00 -2.9025e+00   0.712  1.0616e-01   0.720
co05 101  F4   +600..+748  2.7609e+00  1.1538e+00   0.648  4.8615e+00   0.720
co05 101  F8   +600..+748  2.4319e+00  5.1391e-01   0.632  4.4985e+00   0.720
co05 101  FC5  +600..+748  3.8097e+00  2.6868e+00   0.640  5.3309e+00   0.720
co05 101  FCZ  +600..+748  2.9922e+00  1.5969e+00   0.656  4.5618e+00   0.688
co05 101  FC6  +600..+748  3.4563e+00  1.9537e+00   0.648  5.9105e+00   0.720
co05 101  C3   +600..+748  1.3428e+00 -5.6830e-02   0.712  2.6288e+00   0.688
co05 101  CZ   +600..+748  2.3721e+00  8.3753e-01   0.712  4.1092e+00   0.688
co05 101  C4   +600..+748  4.9229e+00  2.9747e+00   0.648  7.0794e+00   0.720
co05 101  CP5  +600..+748  1.2296e+00 -2.8030e-01   0.640  2.5576e+00   0.660
co05 101  CPZ  +600..+748  1.2691e+00 -9.0008e-01   0.712  3.0846e+00   0.688
co05 101  CP6  +600..+748  3.7574e+00  1.6431e+00   0.712  6.1746e+00   0.684
co05 101  P7   +600..+748  3.6244e+00  2.0830e+00   0.732  5.3824e+00   0.660
co05 101  P3   +600..+748  2.9485e+00  1.1416e+00   0.640  4.5379e+00   0.660
co05 101  PZ   +600..+748  3.3912e+00  9.0225e-01   0.640  5.3876e+00   0.720
co05 101  P4   +600..+748 -1.2608e+00 -4.0870e+00   0.712  6.9812e-01   0.684
co05 101  P8   +600..+748  1.8023e+00 -1.4630e+00   0.712  4.3306e+00   0.660
co05 101  PO3  +600..+748  3.0734e+00  1.0326e+00   0.640  5.0473e+00   0.624
co05 101  POZ  +600..+748  2.7454e+00 -2.0059e-02   0.708  5.0721e+00   0.736
co05 101  PO4  +600..+748  2.4110e+00 -1.1844e+00   0.712  4.5422e+00   0.684
co05 101  OZ   +600..+748  3.8186e+00  5.1090e-01   0.640  7.1697e+00   0.736
co05 102  F7   +600..+748  3.7262e+00  1.3173e+00   0.648  6.4452e+00   0.720
co05 102  F3   +600..+748  9.9530e-01 -1.9410e+00   0.648  2.8649e+00   0.680
co05 102  FZ   +600..+748 -1.8047e+00 -4.7164e+00   0.648  9.2292e-02   0.712
co05 102  F4   +600..+748  4.3551e+00  1.6680e+00   0.648  6.1576e+00   0.708
co05 102  F8   +600..+748  2.6155e+00  5.0518e-01   0.648  5.2946e+00   0.628
co05 102  FC5  +600..+748  2.1566e+00 -8.1382e-01   0.648  4.1682e+00   0.708
co05 102  FCZ  +600..+748  2.8772e+00 -5.4569e-01   0.648  5.1984e+00   0.712
co05 102  FC6  +600..+748  4.7645e+00  2.3915e+00   0.648  6.6170e+00   0.744
co05 102  C3   +600..+748  1.0202e+00 -1.7664e+00   0.648  3.5155e+00   0.680
co05 102  CZ   +600..+748  4.5600e+00  1.5163e+00   0.648  6.9275e+00   0.720
co05 102  C4   +600..+748  8.5223e+00  6.1825e+00   0.648  1.0752e+01   0.744
co05 102  CP5  +600..+748  2.5392e+00  3.6099e-01   0.648  4.5590e+00   0.720
co05 102  CPZ  +600..+748  3.3270e+00  5.8114e-01   0.648  6.4847e+00   0.720
co05 102  CP6  +600..+748  2.5063e+00  3.8698e-01   0.648  3.7982e+00   0.632
co05 102  P7   +600..+748  2.6399e+00  1.2909e+00   0.608  4.4408e+00   0.720
co05 102  P3   +600..+748  5.1089e+00  2.8977e+00   0.648  7.8275e+00   0.720
co05 102  PZ   +600..+748  6.4858e+00  4.0062e+00   0.648  9.4009e+00   0.720
co05 102  P4   +600..+748  3.3410e+00  1.3090e+00   0.696  5.0643e+00   0.632
co05 102  P8   +600..+748  1.1621e+00 -7.9388e-01   0.696  3.2528e+00   0.632
co05 102  PO3  +600..+748  5.3049e+00  3.2460e+00   0.696  7.9969e+00   0.720
co05 102  POZ  +600..+748  4.2605e+00  1.9085e+00   0.696  6.3486e+00   0.720
co05 102  PO4  +600..+748  3.2388e+00  5.8777e-01   0.696  5.8010e+00   0.632
co05 102  OZ   +600..+748  3.6345e+00  1.0488e+00   0.668  5.9758e+00   0.740
co05 103  F7   +600..+748  4.9264e+00  3.9510e+00   0.680  6.3852e+00   0.712
co05 103  F3   +600..+748  2.2077e+00  8.9032e-01   0.668  3.6960e+00   0.636
co05 103  FZ   +600..+748 -1.2985e+00 -2.6078e+00   0.668  1.2777e+00   0.636
co05 103  F4   +600..+748  2.7553e+00  1.4091e+00   0.720  4.5423e+00   0.636
co05 103  F8   +600..+748  4.8254e+00  3.0734e+00   0.608  7.5935e+00   0.712
co05 103  FC5  +600..+748  1.8184e+00  4.8197e-01   0.676  3.2645e+00   0.712
co05 103  FCZ  +600..+748  1.3782e+00 -6.4596e-01   0.676  3.6893e+00   0.636
co05 103  FC6  +600..+748  4.3231e+00  3.3103e+00   0.720  6.1782e+00   0.712
co05 103  C3   +600..+748 -1.6335e-01 -2.0882e+00   0.676  1.3058e+00   0.712
co05 103  CZ   +600..+748  9.8721e-01 -9.8107e-01   0.720  2.9551e+00   0.636
co05 103  C4   +600..+748  5.1275e+00  3.4635e+00   0.676  6.7767e+00   0.712
co05 103  CP5  +600..+748 -5.1025e-01 -2.3539e+00   0.676  1.5453e+00   0.712
co05 103  CPZ  +600..+748  1.3541e-01 -1.5943e+00   0.676  2.5195e+00   0.632
co05 103  CP6  +600..+748  3.6812e+00  2.6071e+00   0.608  5.6827e+00   0.712
co05 103  P7   +600..+748  1.2446e+00 -6.3394e-01   0.676  3.2539e+00   0.712
co05 103  P3   +600..+748  1.9303e+00  6.6007e-02   0.676  3.4346e+00   0.632
co05 103  PZ   +600..+748  3.7945e+00  2.0381e+00   0.696  5.9097e+00   0.624
co05 103  P4   +600..+748  2.3540e+00  2.9895e-01   0.744  4.4542e+00   0.632
co05 103  P8   +600..+748  3.9794e+00  1.7779e+00   0.744  5.6657e+00   0.712
co05 103  PO3  +600..+748  2.5390e+00  6.4304e-01   0.696  3.7602e+00   0.724
co05 103  POZ  +600..+748  2.8398e+00  1.2795e-01   0.696  4.2534e+00   0.736
co05 103  PO4  +600..+748  3.3349e-01 -2.4790e+00   0.696  2.0917e+00   0.636
co05 103  OZ   +600..+748  1.8917e+00 -5.4264e-01   0.696  4.4063e+00   0.736
co05 104  F7   +600..+748  4.3013e+00  2.9302e+00   0.672  6.1798e+00   0.696
co05 104  F3   +600..+748  4.9872e+00  3.3445e+00   0.668  6.8087e+00   0.696
co05 104  FZ   +600..+748  3.0503e+00  1.6162e+00   0.640  4.8396e+00   0.696
co05 104  F4   +600..+748  6.1242e+00  4.0382e+00   0.640  8.4584e+00   0.696
co05 104  F8   +600..+748  3.5507e+00  1.0752e+00   0.624  5.9650e+00   0.696
co05 104  FC5  +600..+748  4.2430e+00  2.9615e+00   0.668  6.1206e+00   0.696
co05 104  FCZ  +600..+748  6.6534e+00  4.9023e+00   0.628  8.4095e+00   0.696
co05 104  FC6  +600..+748  6.4297e+00  3.9060e+00   0.624  9.2298e+00   0.696
co05 104  C3   +600..+748  4.1870e+00  2.6797e+00   0.628  6.2774e+00   0.708
co05 104  CZ   +600..+748  5.0387e+00  2.1724e+00   0.628  7.0003e+00   0.696
co05 104  C4   +600..+748  8.8710e+00  5.5897e+00   0.624  1.1305e+01   0.696
co05 104  CP5  +600..+748  2.3242e+00  4.3617e-01   0.624  3.9885e+00   0.708
co05 104  CPZ  +600..+748  4.2325e+00  7.7215e-01   0.628  6.4203e+00   0.676
co05 104  CP6  +600..+748  4.7761e+00  1.5170e+00   0.624  7.2653e+00   0.676
co05 104  P7   +600..+748  3.0944e+00  1.9997e+00   0.624  4.7487e+00   0.708
co05 104  P3   +600..+748  4.5040e+00  2.6407e+00   0.628  6.0883e+00   0.724
co05 104  PZ   +600..+748  7.2494e+00  3.5432e+00   0.628  9.8756e+00   0.676
co05 104  P4   +600..+748  7.0249e+00  3.4120e+00   0.628  1.0398e+01   0.676
co05 104  P8   +600..+748  2.5434e+00 -8.5942e-02   0.628  5.8411e+00   0.676
co05 104  PO3  +600..+748  3.4188e+00  1.7069e+00   0.628  5.0185e+00   0.724
co05 104  POZ  +600..+748  5.4337e+00  2.3363e+00   0.628  7.8127e+00   0.676
co05 104  PO4  +600..+748  3.6258e+00  3.2544e-01   0.704  7.6735e+00   0.676
co05 104  OZ   +600..+748  4.2011e+00  5.3459e-01   0.700  6.6619e+00   0.676
co06 101  F7   +600..+748 -1.7013e+00 -3.4494e+00   0.696 -2.0253e-02   0.624
co06 101  F3   +600..+748  5.4391e-01 -2.4506e+00   0.660  2.1679e+00   0.736
co06 101  FZ   +600..+748 -2.6061e+00 -4.1780e+00   0.708 -2.3591e-01   0.636
co06 101  F4   +600..+748 -4.0557e+00 -5.4780e+00   0.708 -2.2620e-01   0.676
co06 101  F8   +600..+748 -3.0488e+00 -5.3544e+00   0.616  1.1830e+00   0.676
co06 101  FC5  +600..+748 -2.2437e+00 -4.4395e+00   0.660  6.7351e-01   0.736
co06 101  FCZ  +600..+748 -4.2480e+00 -6.3380e+00   0.708 -1.5560e+00   0.636
co06 101  FC6  +600..+748 -4.3347e+00 -6.7415e+00   0.696  3.4933e-02   0.676
co06 101  C3   +600..+748 -1.6692e+00 -5.3700e+00   0.664  2.9270e+00   0.736
co06 101  CZ   +600..+748 -3.6498e+00 -7.0511e+00   0.664 -3.7524e-02   0.736
co06 101  C4   +600..+748 -2.7024e+00 -5.6656e+00   0.696  1.1191e+00   0.676
co06 101  CP5  +600..+748 -2.6573e+00 -5.4300e+00   0.688  1.2832e+00   0.736
co06 101  CPZ  +600..+748 -2.1753e+00 -6.2544e+00   0.664  2.9970e+00   0.736
co06 101  CP6  +600..+748 -2.5921e+00 -5.2074e+00   0.696  5.4113e-01   0.676
co06 101  P7   +600..+748  8.4050e-01 -3.0132e+00   0.688  5.1202e+00   0.736
co06 101  P3   +600..+748 -1.5855e+00 -4.8335e+00   0.688  4.8940e+00   0.736
co06 101  PZ   +600..+748 -2.8910e+00 -5.9206e+00   0.696  4.0213e+00   0.732
co06 101  P4   +600..+748 -2.1157e+00 -6.4467e+00   0.696  2.7310e+00   0.736
co06 101  P8   +600..+748 -1.3233e+00 -4.7649e+00   0.688  1.1042e+00   0.736
co06 101  PO3  +600..+748 -5.8303e-01 -3.9965e+00   0.608  6.4646e+00   0.736
co06 101  POZ  +600..+748 -3.9888e+00 -8.3532e+00   0.608  2.8232e+00   0.736
co06 101  PO4  +600..+748 -1.3661e-02 -4.9195e+00   0.700  6.5103e+00   0.736
co06 101  OZ   +600..+748 -2.1085e+00 -5.4679e+00   0.708  2.2139e+00   0.736
co06 102  F7   +600..+748 -4.2867e+00 -6.6309e+00   0.724 -1.2011e+00   0.740
co06 102  F3   +600..+748 -3.1704e+00 -5.1728e+00   0.708 -2.7228e-01   0.604
co06 102  FZ   +600..+748 -4.8755e+00 -6.9574e+00   0.724  3.5450e-01   0.604
co06 102  F4   +600..+748 -6.9003e+00 -9.4506e+00   0.644 -1.4091e+00   0.604
co06 102  F8   +600..+748 -4.7938e+00 -7.9484e+00   0.640 -3.0683e+00   0.684
co06 102  FC5  +600..+748 -6.2052e+00 -8.3275e+00   0.700 -4.1136e+00   0.632
co06 102  FCZ  +600..+748 -7.8512e+00 -1.0616e+01   0.656 -2.9362e+00   0.604
co06 102  FC6  +600..+748 -7.7247e+00 -1.1083e+01   0.640 -3.5693e+00   0.604
co06 102  C3   +600..+748 -7.4417e+00 -9.6284e+00   0.640 -5.6312e+00   0.728
co06 102  CZ   +600..+748 -8.0932e+00 -1.3558e+01   0.640 -3.4304e+00   0.604
co06 102  C4   +600..+748 -7.6768e+00 -1.1969e+01   0.640 -2.1151e+00   0.604
co06 102  CP5  +600..+748 -8.3368e+00 -1.0489e+01   0.708 -6.7308e+00   0.668
co06 102  CPZ  +600..+748 -1.0264e+01 -1.6657e+01   0.640 -5.1454e+00   0.692
co06 102  CP6  +600..+748 -7.8269e+00 -1.1339e+01   0.640 -2.5900e+00   0.604
co06 102  P7   +600..+748 -3.4349e+00 -4.8789e+00   0.628 -1.8523e+00   0.668
co06 102  P3   +600..+748 -9.2333e+00 -1.2982e+01   0.640 -5.7824e+00   0.684
co06 102  PZ   +600..+748 -1.1339e+01 -1.9889e+01   0.644 -4.2677e+00   0.692
co06 102  P4   +600..+748 -9.1550e+00 -1.5444e+01   0.652 -2.2874e+00   0.604
co06 102  P8   +600..+748 -6.3874e+00 -1.0012e+01   0.736 -4.8868e-01   0.604
co06 102  PO3  +600..+748 -7.9320e+00 -1.3895e+01   0.644 -2.7448e+00   0.692
co06 102  POZ  +600..+748 -1.0227e+01 -1.9623e+01   0.652 -2.9864e+00   0.696
co06 102  PO4  +600..+748 -6.9654e+00 -1.6740e+01   0.656  1.3542e+00   0.604
co06 102  OZ   +600..+748 -6.8239e+00 -1.1999e+01   0.656 -2.7044e+00   0.692
co06 103  F7   +600..+748 -1.6190e+00 -3.4120e+00   0.720  6.3023e-01   0.692
co06 103  F3   +600..+748 -4.7744e-01 -2.5299e+00   0.736  2.9949e+00   0.656
co06 103  FZ   +600..+748 -1.7501e+00 -3.8355e+00   0.720  1.9278e+00   0.656
co06 103  F4   +600..+748 -1.4485e+00 -3.3572e+00   0.680  1.0384e+00   0.656
co06 103  F8   +600..+748 -2.8665e+00 -6.1327e+00   0.672  3.2200e-01   0.604
co06 103  FC5  +600..+748 -2.3427e+00 -4.1447e+00   0.724  7.0389e-01   0.656
co06 103  FCZ  +600..+748 -3.6323e+00 -5.8380e+00   0.704  6.9252e-01   0.656
co06 103  FC6  +600..+748 -3.7070e+00 -6.9074e+00   0.668 -1.4847e+00   0.628
co06 103  C3   +600..+748 -3.3737e+00 -5.8402e+00   0.704 -1.1802e+00   0.744
co06 103  CZ   +600..+748 -3.5272e+00 -7.8687e+00   0.700  4.9328e-01   0.656
co06 103  C4   +600..+748 -2.2196e+00 -6.1005e+00   0.672  1.9927e+00   0.740
co06 103  CP5  +600..+748 -5.2568e+00 -8.3126e+00   0.700 -2.3088e+00   0.732
co06 103  CPZ  +600..+748 -4.5926e+00 -1.0436e+01   0.700  1.5375e+00   0.744
co06 103  CP6  +600..+748 -3.9171e+00 -7.2007e+00   0.704  3.2019e-01   0.744
co06 103  P7   +600..+748 -1.6950e+00 -4.2241e+00   0.700  1.1382e+00   0.732
co06 103  P3   +600..+748 -3.9244e+00 -8.2389e+00   0.704  1.8505e+00   0.740
co06 103  PZ   +600..+748 -6.4217e+00 -1.3047e+01   0.608  1.2908e-01   0.732
co06 103  P4   +600..+748 -4.3071e+00 -9.5798e+00   0.608 -9.9245e-01   0.636
co06 103  P8   +600..+748 -5.1448e+00 -8.4353e+00   0.704 -1.6837e+00   0.628
co06 103  PO3  +600..+748 -3.9336e+00 -9.6803e+00   0.608  3.5628e+00   0.740
co06 103  POZ  +600..+748 -6.4068e+00 -1.3146e+01   0.608 -2.7831e+00   0.636
co06 103  PO4  +600..+748 -3.7248e+00 -1.0916e+01   0.608 -4.8295e-02   0.636
co06 103  OZ   +600..+748 -5.2772e+00 -9.3356e+00   0.704 -2.1159e+00   0.636
co06 104  F7   +600..+748 -1.0345e-01 -2.8427e+00   0.644  3.1307e+00   0.668
co06 104  F3   +600..+748  3.6380e+00  1.6326e+00   0.628  5.7259e+00   0.712
co06 104  FZ   +600..+748  2.2645e+00  9.7307e-01   0.680  3.9485e+00   0.716
co06 104  F4   +600..+748  6.5489e-01 -2.0661e+00   0.680  3.5866e+00   0.716
co06 104  F8   +600..+748 -8.4151e-01 -3.2459e+00   0.644  2.5498e+00   0.608
co06 104  FC5  +600..+748 -7.4788e-01 -3.4133e+00   0.644  2.2352e+00   0.664
co06 104  FCZ  +600..+748 -1.0267e+00 -2.7928e+00   0.628  7.2630e-01   0.716
co06 104  FC6  +600..+748 -2.7178e+00 -6.2950e+00   0.680  8.7405e-01   0.604
co06 104  C3   +600..+748 -3.6322e+00 -7.7223e+00   0.644 -8.9058e-01   0.672
co06 104  CZ   +600..+748 -4.3934e+00 -6.4025e+00   0.680 -2.6873e+00   0.724
co06 104  C4   +600..+748 -3.4372e+00 -8.1006e+00   0.680 -5.0658e-01   0.608
co06 104  CP5  +600..+748 -4.3301e+00 -7.4749e+00   0.644 -1.5117e+00   0.664
co06 104  CPZ  +600..+748 -8.8609e+00 -1.1839e+01   0.680 -6.7057e+00   0.724
co06 104  CP6  +600..+748 -4.9574e+00 -1.1152e+01   0.680 -8.8895e-01   0.604
co06 104  P7   +600..+748 -1.9602e+00 -5.2547e+00   0.628 -4.3521e-02   0.664
co06 104  P3   +600..+748 -5.8847e+00 -8.8366e+00   0.644 -3.4864e+00   0.740
co06 104  PZ   +600..+748 -1.2599e+01 -1.6363e+01   0.680 -8.8668e+00   0.608
co06 104  P4   +600..+748 -8.5495e+00 -1.4323e+01   0.680 -4.2926e+00   0.636
co06 104  P8   +600..+748 -6.2878e+00 -1.2577e+01   0.680 -1.1389e+00   0.636
co06 104  PO3  +600..+748 -6.5759e+00 -1.0462e+01   0.644 -2.6477e+00   0.604
co06 104  POZ  +600..+748 -1.2202e+01 -1.5984e+01   0.680 -7.1132e+00   0.604
co06 104  PO4  +600..+748 -9.0741e+00 -1.4351e+01   0.680 -4.5089e+00   0.608
co06 104  OZ   +600..+748 -6.8975e+00 -8.9566e+00   0.704 -3.1855e+00   0.604
co07 101  F7   +600..+748  2.7588e+00 -2.5207e+00   0.612  6.9327e+00   0.740
co07 101  F3   +600..+748  7.7057e-01 -3.2668e+00   0.660  5.1313e+00   0.628
co07 101  FZ   +600..+748  6.1521e-01 -3.8934e+00   0.652  5.6106e+00   0.620
co07 101  F4   +600..+748 -1.6438e+00 -5.4100e+00   0.652  4.6901e+00   0.620
co07 101  F8   +600..+748 -2.2666e+00 -1.2142e+01   0.644  4.2043e+00   0.680
co07 101  FC5  +600..+748  6.9497e-01 -5.6775e+00   0.652  1.2433e+01   0.628
co07 101  FCZ  +600..+748 -6.0166e-01 -5.0877e+00   0.652  6.8243e+00   0.620
co07 101  FC6  +600..+748  1.4783e+00 -5.6014e+00   0.652  1.2688e+01   0.620
co07 101  C3   +600..+748 -1.3795e+00 -7.2413e+00   0.652  5.1057e+00   0.620
co07 101  CZ   +600..+748 -1.8148e+00 -6.2876e+00   0.652  6.2383e+00   0.620
co07 101  C4   +600..+748 -1.9941e+00 -7.8741e+00   0.744  5.2509e+00   0.620
co07 101  CP5  +600..+748 -1.3513e+00 -4.5886e+00   0.644  3.8573e+00   0.616
co07 101  CPZ  +600..+748 -1.6319e+00 -6.8484e+00   0.652  5.7610e+00   0.620
co07 101  CP6  +600..+748 -2.2548e+00 -9.3671e+00   0.744  3.7103e+00   0.620
co07 101  P7   +600..+748  5.4863e-01 -4.0197e+00   0.744  4.0270e+00   0.616
co07 101  P3   +600..+748 -1.6940e+00 -7.0503e+00   0.744  4.6857e+00   0.616
co07 101  PZ   +600..+748 -2.8028e+00 -8.8381e+00   0.744  4.1349e+00   0.620
co07 101  P4   +600..+748 -2.1504e+00 -9.5089e+00   0.744  4.3820e+00   0.616
